安		1		1		1		
徽		1		1		1		
省		1		1		1		
是		0		0		1		
华		1		1		0		
东		1		1		0		
地		1		1		0		
区		1		1		0		
距		0		0		0		
海		0		0		0		
较		0		0		0		
近		0		0		0		
的		0		0		0		
内		0		0		0		
陆		0		0		0		
省		0		0		0		
。		0		0		0		
安		1		1		1		
徽		1		1		1		
省		1		1		1		
位		0		0		1		
于		0		0		0		
中		1		1		0		
国		1		1		0		
东		0		0		1		
部		0		0		0		
，		0		0		0		
地		0		0		0		
处		0		0		0		
长		1		1		0		
江		1		1		0		
、		0		0		0		
淮		1		1		1		
河		1		1		1		
中		0		1		0		
下		0		1		0		
游		0		1		0		
。		0		0		0		
安		1		1		1		
徽		1		1		1		
省		1		1		1		
简		0		0		0		
称		0		0		0		
皖		1		1		0		
。		0		0		0		
安		1		1		1		
徽		1		1		1		
省		1		1		1		
东		0		0		1		
连		0		0		1		
江		1		1		1		
苏		1		1		1		
、		0		0		0		
浙		1		1		1		
江		1		1		1		
，		0		0		0		
南		0		0		0		
接		0		0		1		
江		1		1		1		
西		1		1		1		
，		0		0		0		
西		0		0		1		
与		0		0		1		
湖		1		1		1		
北		1		1		0		
、		0		0		0		
河		1		1		1		
南		1		1		1		
为		0		0		1		
邻		0		0		1		
，		0		0		0		
北		0		0		0		
部		0		0		1		
一		0		0		0		
隅		0		0		1		
与		0		0		0		
山		1		1		0		
东		1		1		0		
接		0		0		0		
壤		0		0		0		
。		0		0		0		
安		1		1		1		
徽		1		1		1		
省		1		1		1		
介		0		0		1		
于		0		0		0		
北		0		0		0		
纬		0		0		0		
2		0		0		0		
9		0		0		0		
°		0		0		0		
2		0		0		0		
4		0		0		0		
＇		0		0		0		
～		0		0		0		
3		0		0		0		
4		0		0		0		
°		0		0		0		
3		0		0		0		
9		0		0		0		
＇		0		0		0		
，		0		0		0		
东		0		0		0		
经		0		0		0		
1		0		0		0		
1		0		0		0		
4		0		0		0		
°		0		0		0		
5		0		0		0		
4		0		0		0		
＇		0		0		0		
～		0		0		0		
1		0		0		0		
1		0		0		0		
9		0		0		0		
°		0		0		0		
3		0		0		0		
7		0		0		0		
＇		0		0		0		
。		0		0		0		
安		1		1		1		
徽		1		1		1		
省		1		1		1		
面		0		0		0		
积		0		0		0		
1		0		0		0		
3		0		0		0		
.		0		0		0		
9		0		0		0		
4		0		0		0		
_		0		0		0		
万		0		0		0		
平		0		0		0		
方		0		0		0		
公		0		0		0		
里		0		0		0		
，		0		0		0		
1		0		0		0		
9		0		0		0		
9		0		0		0		
0		0		0		0		
_		0		0		0		
年		0		0		0		
人		0		0		0		
口		0		0		0		
_		0		0		0		
5		0		0		0		
6		0		0		0		
1		0		0		0		
8		0		0		0		
.		0		0		0		
0		0		0		0		
8		0		0		0		
1		0		0		0		
3		0		0		0		
_		0		0		0		
万		0		0		0		
。		0		0		0		
安		1		1		1		
徽		1		1		1		
省		1		1		1		
辖		0		0		1		
7		0		0		0		
地		0		0		0		
区		0		0		0		
、		0		0		0		
9		0		0		0		
地		0		0		0		
级		0		0		0		
市		0		0		0		
、		0		0		0		
9		0		0		0		
县		0		0		0		
级		0		0		0		
市		0		0		0		
和		0		0		0		
6		0		1		0		
3		0		1		0		
县		0		1		0		
。		0		0		0		
安		1		1		1		
徽		1		1		1		
省		1		1		1		
省		0		0		1		
会		0		0		0		
合		1		1		0		
肥		1		1		0		
市		1		1		0		
。		0		0		0		
安		1		1		1		
徽		1		1		1		
省		1		1		1		
自		0		0		0		
然		0		0		0		
条		0		0		0		
件		0		0		0		
地		0		0		0		
质		0		0		0		
省		0		0		1		
境		0		0		0		
地		0		0		0		
跨		0		0		0		
三		0		0		0		
大		0		0		0		
构		0		0		0		
造		0		0		0		
单		0		0		0		
元		0		0		0		
，		0		0		0		
淮		0		1		0		
北		0		1		0		
和		0		0		0		
沿		0		0		1		
淮		0		0		0		
两		0		0		0		
侧		0		0		1		
